Type,Manufacturer,Range,Panel Radiator Type,Column Style,Material,Height,Width,Sections / Elements,Cols,Manu. Part Number,Heat Output Watts (dT50),Heat Output Btu/hr (1),n coefficient Strategy,n coefficient
Panel,Stelrad,Stelrad Compact,11,,Steel,300,500,15,,143650,255,870,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,1000,30,,143651,509,1737,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,1500,45,,143652,764,2608,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,2000,60,,143653,1018,3474,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,2500,75,,143654,1273,4345,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,300,3000,90,,143655,1527,5212,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,400,12,,143680,302,1031,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,500,15,,143681,378,1290,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,600,18,,143682,454,1550,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,700,21,,143683,529,1805,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,800,24,,143684,605,2065,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,900,27,,143685,680,2321,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1000,30,,143686,756,2580,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1100,33,,143687,832,2840,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1200,36,,143688,907,3096,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1400,42,,143689,1058,3611,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1600,48,,143690,1210,4130,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,1800,54,,143691,1361,4645,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2000,60,,143692,1512,5160,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2200,66,,143693,1663,5676,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2400,72,,143694,1814,6191,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2600,78,,143695,1966,6710,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,2800,84,,143696,2117,7225,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,450,3000,90,,143697,2268,7741,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,300,9,,143646,294,1003,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,400,12,,143746,392,1338,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,500,15,,143747,490,1672,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,600,18,,143748,588,2007,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,700,21,,143749,686,2341,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,800,24,,143750,784,2676,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,900,27,,143751,882,3010,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1000,30,,143752,980,3345,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1100,33,,143753,1078,3679,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1200,36,,143754,1176,4014,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1400,42,,143755,1372,4683,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1600,48,,143756,1568,5352,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,1800,54,,143757,1764,6021,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2000,60,,143758,1960,6689,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2200,66,,143759,2156,7358,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2400,72,,143760,2352,8027,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2600,78,,143761,2548,8696,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,2800,84,,143762,2744,9365,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,600,3000,90,,143763,2940,10034,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,300,9,,143648,335,1143,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,400,12,,143812,447,1526,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,500,15,,143813,559,1908,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,600,18,,143814,670,2287,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,700,21,,143815,782,2669,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,800,24,,143816,894,3051,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,900,27,,143817,1005,3430,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1000,30,,143818,1117,3812,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1100,33,,143819,1229,4195,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1200,36,,143820,1340,4573,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1400,42,,143821,1564,5338,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1600,48,,143822,1787,6099,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,1800,54,,143823,2011,6864,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2000,60,,143824,2234,7625,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2200,66,,143825,2457,8386,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2400,72,,143826,2681,9150,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2600,78,,143827,2904,9911,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,2800,84,,143828,3128,10676,Default,1.3
Panel,Stelrad,Stelrad Compact,11,,Steel,700,3000,90,,143829,3351,11437,Default,1.3
Panel,Stelrad,Stelrad Compact,21,,Steel,300,500,15,,143656,373,1273,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,1000,30,,143657,745,2543,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,1500,45,,143658,1118,3816,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,2000,60,,143659,1490,5085,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,2500,75,,143660,1863,6358,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,300,3000,90,,143661,2235,7628,P+ 300H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,400,12,,143698,422,1440,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,500,15,,143699,528,1802,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,600,18,,143700,633,2160,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,700,21,,143701,739,2522,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,800,24,,143702,844,2881,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,900,27,,143703,950,3242,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1000,30,,143704,1055,3601,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1100,33,,143705,1161,3962,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1200,36,,143706,1266,4321,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1400,42,,143707,1477,5041,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1600,48,,143708,1688,5761,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,1800,54,,143709,1899,6481,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2000,60,,143710,2110,7201,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2200,66,,143711,2321,7922,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2400,72,,143712,2532,8642,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2600,78,,143713,2743,9362,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,2800,84,,143714,2954,10082,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,450,3000,90,,143715,3165,10802,P+ 450H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,400,12,,143764,538,1836,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,500,15,,143765,673,2297,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,600,18,,143766,807,2754,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,700,21,,143767,942,3215,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,800,24,,143768,1076,3672,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,900,27,,143769,1211,4133,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1000,30,,143770,1345,4590,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1100,33,,143771,1480,5051,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1200,36,,143772,1614,5509,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1400,42,,143773,1883,6427,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1600,48,,143774,2152,7345,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,1800,54,,143775,2421,8263,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2000,60,,143776,2690,9181,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2200,66,,143777,2959,10099,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2400,72,,143778,3228,11017,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2600,78,,143779,3497,11935,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,2800,84,,143780,3766,12853,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,600,3000,90,,143781,4035,13771,P+ 600H,1.33
Panel,Stelrad,Stelrad Compact,21,,Steel,700,400,12,,143830,612,2089,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,500,15,,143831,765,2611,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,600,18,,143832,918,3133,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,700,21,,143833,1071,3655,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,800,24,,143834,1224,4178,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,900,27,,143835,1377,4700,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,1000,30,,143836,1530,5222,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,1100,33,,143837,1683,5744,P+ 700H,1.34
Panel,Stelrad,Stelrad Compact,21,,Steel,700,1200,36,,143838,1836,6266,P+ 700H,1.34
